,Date,Open,High,Low,Close,Adj Close,Volume,3days_before_change
0,2015-08-05,13.06,13.31,10.4,10.77,10.77,14096900,
1,2015-08-06,11.0,11.2,8.23,8.77,8.77,3570400,
2,2015-08-07,9.19,10.2,8.77,10.14,10.14,1623800,
3,2015-08-10,10.73,10.73,10.0,10.12,10.12,435900,0.9980276134122287
4,2015-08-11,10.0,10.03,9.5,9.79,9.79,349700,
5,2015-08-12,9.68,10.4,9.653,10.35,10.35,498200,
6,2015-08-13,10.07,10.338,10.05,10.12,10.12,397500,1.0
7,2015-08-14,10.01,10.17,9.73,10.04,10.04,410600,1.0255362614913177
8,2015-08-17,10.04,10.26,9.96,10.13,10.13,346000,1.008964143426295
9,2015-08-18,10.0,10.34,10.0,10.24,10.24,277700,
10,2015-08-19,10.3,11.03,10.173,10.73,10.73,573000,
11,2015-08-20,10.55,10.74,10.0,10.52,10.52,321400,1.0384995064165843
12,2015-08-21,10.2,10.56,9.81,9.9,9.9,394900,0.966796875
13,2015-08-24,9.39,9.39,8.5,9.16,9.16,1052300,0.9252525252525252
14,2015-08-25,9.68,10.21,9.65,9.9,9.9,834000,
15,2015-08-26,10.03,10.8,9.99,10.78,10.78,791000,
16,2015-08-27,10.91,11.14,10.83,11.0,11.0,569400,1.2008733624454149
17,2015-08-28,11.18,11.85,10.95,11.62,11.62,450500,1.1737373737373735
18,2015-08-31,11.86,12.24,11.4,11.88,11.88,617300,1.0223752151462997
19,2015-09-01,11.49,12.0,11.25,11.86,11.86,745700,
20,2015-09-02,12.0,12.15,10.5,11.59,11.59,510100,
21,2015-09-03,11.48,11.9,11.1,11.64,11.64,219800,0.9797979797979798
22,2015-09-04,11.56,11.63,11.03,11.56,11.56,171500,0.9747048903878585
23,2015-09-08,12.0,12.0,10.91,11.55,11.55,709000,
24,2015-09-09,11.75,11.9,11.15,11.39,11.39,334800,
25,2015-09-10,11.44,11.87,11.44,11.69,11.69,368600,
26,2015-09-11,11.5,11.69,11.25,11.5,11.5,427300,0.9956709956709956
27,2015-09-14,11.41,11.51,10.94,11.25,11.25,405500,0.9782608695652174
28,2015-09-15,11.18,11.495,11.0,11.49,11.49,346700,
29,2015-09-16,11.4,11.5,11.0,11.31,11.31,323100,
30,2015-09-17,11.24,11.64,11.24,11.4,11.4,314400,1.0133333333333334
31,2015-09-18,11.3,11.9,11.11,11.58,11.58,1343300,1.0078328981723237
32,2015-09-21,11.69,11.9,11.33,11.74,11.74,299600,1.0138169257340242
33,2015-09-22,11.6,11.9,11.25,11.39,11.39,432000,
34,2015-09-23,11.75,11.75,10.97,11.01,11.01,287000,
35,2015-09-24,10.88,11.0,10.74,10.81,10.81,268600,0.9207836456558773
36,2015-09-25,10.88,11.32,10.79,11.13,11.13,351600,0.9771729587357331
37,2015-09-28,11.04,11.34,10.01,10.06,10.06,590300,0.903863432165319
38,2015-09-29,10.14,10.43,9.53,9.81,9.81,1040800,
39,2015-09-30,9.9,10.74,9.71,10.37,10.37,3454500,
40,2015-10-01,10.38,11.08,9.98,10.3,10.3,491900,1.0238568588469186
41,2015-10-02,10.13,10.69,9.94,10.51,10.51,288300,1.0713557594291538
42,2015-10-05,10.71,10.97,10.51,10.66,10.66,290300,1.0142721217887727
43,2015-10-06,10.65,11.23,10.64,11.05,11.05,337200,
44,2015-10-07,11.08,11.47,10.57,11.19,11.19,448100,
45,2015-10-08,11.29,11.41,11.0,11.39,11.39,137900,1.0684803001876173
46,2015-10-09,11.42,11.6,11.22,11.26,11.26,183600,1.0190045248868778
47,2015-10-12,11.31,11.31,10.75,10.78,10.78,144300,0.9573712255772646
48,2015-10-13,10.67,10.93,10.58,10.69,10.69,156700,
49,2015-10-14,10.65,10.96,10.54,10.74,10.74,196300,
50,2015-10-15,10.85,11.0,10.36,10.6,10.6,265800,0.9833024118738405
51,2015-10-16,10.68,10.7,10.31,10.34,10.34,157900,0.9672591206735267
52,2015-10-19,10.28,10.34,9.65,9.81,9.81,338400,0.9487427466150871
53,2015-10-20,9.81,9.85,9.48,9.5,9.5,219400,
