,Date,Open,High,Low,Close,Adj Close,Volume,3day_before_change,3day_before_change
0,2015-08-05,13.06,13.31,10.4,10.77,10.77,14096900,0.0,1.022911051212938
1,2015-08-06,11.0,11.2,8.23,8.77,8.77,3570400,0.0,0.9967061923583663
2,2015-08-07,9.19,10.2,8.77,10.14,10.14,1623800,0.0,0.9953734302709848
3,2015-08-10,10.73,10.73,10.0,10.12,10.12,435900,0.0,1.0325365205843295
4,2015-08-11,10.0,10.03,9.5,9.79,9.79,349700,0.0,0.984887459807074
5,2015-08-12,9.68,10.4,9.653,10.35,10.35,498200,0.0,0.9333986287952988
6,2015-08-13,10.07,10.338,10.05,10.12,10.12,397500,0.0,1.1682406435816717
7,2015-08-14,10.01,10.17,9.73,10.04,10.04,410600,0.0,1.0670658682634733
8,2015-08-17,10.04,10.26,9.96,10.13,10.13,346000,0.0,0.9845679012345678
9,2015-08-18,10.0,10.34,10.0,10.24,10.24,277700,0.0,0.9883157594756341
10,2015-08-19,10.3,11.03,10.173,10.73,10.73,573000,0.0,0.9922145328719724
11,2015-08-20,10.55,10.74,10.0,10.52,10.52,321400,0.0,1.0108979947689622
12,2015-08-21,10.2,10.56,9.81,9.9,9.9,394900,0.0,0.9805950840879691
13,2015-08-24,9.39,9.39,8.5,9.16,9.16,1052300,0.0,1.0052770448548811
14,2015-08-25,9.68,10.21,9.65,9.9,9.9,834000,0.0,1.0271216097987752
15,2015-08-26,10.03,10.8,9.99,10.78,10.78,791000,0.0,0.9429301533219762
16,2015-08-27,10.91,11.14,10.83,11.0,11.0,569400,0.0,1.005420054200542
17,2015-08-28,11.18,11.85,10.95,11.62,11.62,450500,0.0,0.9056603773584905
18,2015-08-31,11.86,12.24,11.4,11.88,11.88,617300,0.0,1.0322420634920635
19,2015-09-01,11.49,12.0,11.25,11.86,11.86,745700,0.0,1.043248438250841
20,2015-09-02,12.0,12.15,10.5,11.59,11.59,510100,0.0,1.0391524643021648
21,2015-09-03,11.48,11.9,11.1,11.64,11.64,219800,0.0,0.9556737588652482
22,2015-09-04,11.56,11.63,11.03,11.56,11.56,171500,0.0,0.9904143475572048
23,2015-09-08,12.0,12.0,10.91,11.55,11.55,709000,0.0,0.9684670621292537
24,2015-09-09,11.75,11.9,11.15,11.39,11.39,334800,0.0,0.9107027724049
25,2015-09-10,11.44,11.87,11.44,11.69,11.69,368600,0.0,0.9546902654867258
26,2015-09-11,11.5,11.69,11.25,11.5,11.5,427300,0.0,1.0150166852057843
27,2015-09-14,11.41,11.51,10.94,11.25,11.25,405500,0.0,0.9402739726027397
28,2015-09-15,11.18,11.495,11.0,11.49,11.49,346700,0.0,0.8578088578088578
29,2015-09-16,11.4,11.5,11.0,11.31,11.31,323100,0.0,1.0552536231884058
30,2015-09-17,11.24,11.64,11.24,11.4,11.4,314400,0.0,1.0068669527896996
31,2015-09-18,11.3,11.9,11.11,11.58,11.58,1343300,0.0,0.9373401534526855
32,2015-09-21,11.69,11.9,11.33,11.74,11.74,299600,0.0,0.9474761255115961
33,2015-09-22,11.6,11.9,11.25,11.39,11.39,432000,0.0,0.9877609791216702
34,2015-09-23,11.75,11.75,10.97,11.01,11.01,287000,0.0,0.9582118561710399
35,2015-09-24,10.88,11.0,10.74,10.81,10.81,268600,0.0,1.0040567951318458
36,2015-09-25,10.88,11.32,10.79,11.13,11.13,351600,0.0,1.021969696969697
37,2015-09-28,11.04,11.34,10.01,10.06,10.06,590300,0.0,1.0704225352112675
38,2015-09-29,10.14,10.43,9.53,9.81,9.81,1040800,0.0,0.9736842105263158
39,2015-09-30,9.9,10.74,9.71,10.37,10.37,3454500,0.0,1.12375533428165
40,2015-10-01,10.38,11.08,9.98,10.3,10.3,491900,0.0,0.9924050632911392
41,2015-10-02,10.13,10.69,9.94,10.51,10.51,288300,0.0,0.9838435374149661
42,2015-10-05,10.71,10.97,10.51,10.66,10.66,290300,0.0,1.1797752808988762
43,2015-10-06,10.65,11.23,10.64,11.05,11.05,337200,0.0,1.239194139194139
44,2015-10-07,11.08,11.47,10.57,11.19,11.19,448100,0.0,1.2184451670115284
45,2015-10-08,11.29,11.41,11.0,11.39,11.39,137900,0.0,0.8947113051916546
46,2015-10-09,11.42,11.6,11.22,11.26,11.26,183600,0.0,0.9915943600867677
47,2015-10-12,11.31,11.31,10.75,10.78,10.78,144300,0.0,0.9585726004922066
48,2015-10-13,10.67,10.93,10.58,10.69,10.69,156700,0.0,1.0051347881899872
49,2015-10-14,10.65,10.96,10.54,10.74,10.74,196300,0.0,0.9544487015751384
50,2015-10-15,10.85,11.0,10.36,10.6,10.6,265800,0.0,0.8629200118941421
51,2015-10-16,10.68,10.7,10.31,10.34,10.34,157900,0.0,1.0079255685733977
52,2015-10-19,10.28,10.34,9.65,9.81,9.81,338400,0.0,0.8967521367521368
53,2015-10-20,9.81,9.85,9.48,9.5,9.5,219400,0.0,0.9006862371330536
54,2015-10-21,9.5,9.57,8.52,8.94,8.94,597300,0.0,0.9396825396825397
55,2015-10-22,9.03,9.19,8.81,8.9,8.9,605400,0.0,1.1846846846846846
56,2015-10-23,8.84,9.34,8.834,9.08,9.08,398500,0.0,0.9593155893536123
57,2015-10-26,9.03,9.23,8.9,9.21,9.21,168800,0.0,1.0749108204518432
58,2015-10-27,9.13,9.4,8.89,9.04,9.04,260300,0.0,1.0530973451327432
59,2015-10-28,9.05,9.435,9.05,9.42,9.42,208100,0.0,0.8886554621848741
60,2015-10-29,9.22,9.39,8.88,8.91,8.91,214300,0.0,0.9462174940898345
61,2015-10-30,8.81,8.83,7.0,7.41,7.41,2015100,0.0,0.9244222361024359
62,2015-11-02,7.37,7.58,7.11,7.36,7.36,603200,0.0,0.7292792792792794
63,2015-11-03,7.37,7.7,7.19,7.52,7.52,851700,0.0,
64,2015-11-04,7.68,7.92,7.5,7.71,7.71,754300,0.0,
65,2015-11-05,7.8,8.11,7.72,8.07,8.07,307600,0.0,1.0194723618090453
66,2015-11-06,8.02,8.1,7.57,7.82,7.82,293600,0.0,0.9414664202094885
67,2015-11-09,8.29,8.29,7.55,7.73,7.73,199000,0.0,1.0611910994764397
68,2015-11-10,7.67,7.93,7.25,7.27,7.27,394700,0.0,1.0259019426456986
69,2015-11-11,7.24,7.45,6.87,6.99,6.99,536300,0.0,1.1247370003005712
70,2015-11-12,6.99,6.99,6.36,6.58,6.58,505400,0.0,1.0582576162479955
71,2015-11-13,6.39,7.93,6.39,7.31,7.31,989200,0.0,1.0343434343434346
72,2015-11-16,7.4,7.4,6.84,7.0,7.0,624100,0.0,0.930908203125
73,2015-11-17,7.04,7.25,6.51,6.72,6.72,1087700,0.0,1.012326252294781
74,2015-11-18,6.8,7.01,6.36,6.55,6.55,561600,0.0,1.0558290155440415
75,2015-11-19,6.51,6.784,6.45,6.5,6.5,363900,0.0,0.978284873021715
76,2015-11-20,6.59,6.74,6.51,6.67,6.67,366600,0.0,0.9480812641083524
77,2015-11-23,6.62,6.959,6.56,6.6,6.6,384600,0.0,1.0269841269841269
78,2015-11-24,6.59,6.82,6.59,6.74,6.74,476400,0.0,0.9969088098918084
79,2015-11-25,6.7,6.84,6.6,6.75,6.75,476000,0.0,0.9984496124031008
80,2015-11-27,6.81,7.41,6.81,7.22,7.22,445700,0.0,1.026656314699793
81,2015-11-30,7.23,7.285,6.61,6.65,6.65,557300,0.0,1.0231913284597933
82,2015-12-01,6.7,7.14,6.53,7.05,7.05,351600,0.0,0.9963045084996304
83,2015-12-02,7.05,7.46,6.913,7.39,7.39,620900,0.0,1.0415430267062313
84,2015-12-03,7.52,8.35,7.52,7.95,7.95,1041500,0.0,1.00997150997151
85,2015-12-04,7.95,8.035,7.66,7.85,7.85,436100,0.0,1.0366713681241184
86,2015-12-07,7.79,8.37,7.735,7.91,7.91,439800,0.0,1.0761904761904764
87,2015-12-08,8.11,8.11,7.625,7.77,7.77,388900,0.0,0.998314369995786
88,2015-12-09,7.79,8.035,7.548,7.71,7.71,333600,0.0,1.0067539046010974
89,2015-12-10,7.6,7.83,7.56,7.57,7.57,364800,0.0,0.9786163522012579
90,2015-12-11,7.46,8.02,7.46,7.86,7.86,450900,0.0,0.9528706083976007
91,2015-12-14,7.95,9.38,7.83,9.1,9.1,940800,0.0,0.9968525179856115
92,2015-12-15,9.26,11.29,9.16,9.49,9.49,2054200,0.0,0.8520523229589536
93,2015-12-16,11.17,12.17,10.89,11.63,11.63,3501200,0.0,1.0497617787188989
94,2015-12-17,12.85,13.3,11.79,12.71,12.71,3608200,0.0,0.9283913262733232
95,2015-12-18,12.45,13.95,11.95,13.74,13.74,3045300,0.0,0.9932102118413907
96,2015-12-21,14.15,14.95,13.13,13.4,13.4,3150800,0.0,1.0410172272354388
97,2015-12-22,13.45,13.65,11.41,11.6,11.6,2507000,0.0,1.0013133701076966
98,2015-12-23,11.95,12.36,11.55,11.88,11.88,1104200,0.0,
99,2015-12-24,11.69,12.47,11.6,12.19,12.19,385000,0.0,
100,2015-12-28,12.11,12.38,11.6,11.67,11.67,637500,0.0,0.9640021175224986
101,2015-12-29,11.79,12.05,11.07,11.7,11.7,626600,0.0,1.0647995606809446
102,2015-12-30,11.65,12.07,11.45,11.72,11.72,317100,0.0,0.984785972150593
103,2015-12-31,11.76,11.95,11.64,11.77,11.77,319100,0.0,0.9402985074626864
104,2016-01-04,11.27,11.49,11.08,11.21,11.21,576800,0.0,1.0058479532163742
105,2016-01-05,10.88,11.0,9.42,9.61,9.61,1947000,0.0,1.026578073089701
106,2016-01-06,9.27,10.38,9.078,10.2,10.2,3534100,0.0,0.9719525350593312
107,2016-01-07,9.8,9.97,9.16,9.21,9.21,1694700,0.0,0.9306326304106548
108,2016-01-08,9.35,9.95,9.25,9.75,9.75,552500,0.0,0.975551580202743
109,2016-01-11,9.65,9.7,9.08,9.31,9.31,577600,0.0,1.042481662591687
110,2016-01-12,9.35,9.5,8.4,8.67,8.67,598600,0.0,0.9041336851363235
111,2016-01-13,8.6,8.76,8.032,8.25,8.25,796500,0.0,0.993514915693904
112,2016-01-14,8.08,8.55,7.78,8.0,8.0,1156400,0.0,0.9967362924281985
113,2016-01-15,7.75,7.9,7.26,7.75,7.75,903100,0.0,1.0150622134905043
114,2016-01-19,7.83,7.89,7.3,7.4,7.4,743500,0.0,0.9812903225806452
115,2016-01-20,7.25,9.205,6.94,8.54,8.54,1686000,0.0,1.0276134122287968
116,2016-01-21,8.62,9.07,8.455,8.97,8.97,1195800,0.0,0.9836852207293666
117,2016-01-22,9.37,9.7,8.53,8.79,8.79,1037100,0.0,0.9912195121951219
118,2016-01-25,8.78,8.85,8.14,8.41,8.41,600000,0.0,1.0203412073490814
119,2016-01-26,8.48,9.08,8.2,8.73,8.73,712900,0.0,0.9781350482315113
